nominal, lapu, genrr, bitflip
7.474747474747475140e-01,7.339999999999999858e-01,7.700000000000000178e-01,7.790000000000000258e-01
7.575757575757576801e-01,7.419999999999999929e-01,7.760000000000000231e-01,7.870000000000000329e-01
7.676767676767677351e-01,7.530000000000000027e-01,7.890000000000000346e-01,7.960000000000000409e-01
7.777777777777777901e-01,7.600000000000000089e-01,8.020000000000000462e-01,8.040000000000000480e-01
7.878787878787879562e-01,7.680000000000000160e-01,8.179999999999999494e-01,8.100000000000000533e-01
7.979797979797980112e-01,7.780000000000000249e-01,8.319999999999999618e-01,8.239999999999999547e-01
8.080808080808081773e-01,7.860000000000000320e-01,8.459999999999999742e-01,8.349999999999999645e-01
8.181818181818182323e-01,8.030000000000000471e-01,8.569999999999999840e-01,8.479999999999999760e-01
8.282828282828283983e-01,8.199999999999999512e-01,8.629999999999999893e-01,8.559999999999999831e-01
8.383838383838384534e-01,8.299999999999999600e-01,8.739999999999999991e-01,8.669999999999999929e-01
8.484848484848485084e-01,8.429999999999999716e-01,8.780000000000000027e-01,8.739999999999999991e-01
8.585858585858586745e-01,8.529999999999999805e-01,8.880000000000000115e-01,8.790000000000000036e-01
8.686868686868687295e-01,8.639999999999999902e-01,8.960000000000000187e-01,8.900000000000000133e-01
8.787878787878788955e-01,8.760000000000000009e-01,9.000000000000000222e-01,9.000000000000000222e-01
8.888888888888889506e-01,8.890000000000000124e-01,9.080000000000000293e-01,9.060000000000000275e-01
8.989898989898991166e-01,9.020000000000000240e-01,9.180000000000000382e-01,9.190000000000000391e-01
9.090909090909091717e-01,9.120000000000000329e-01,9.280000000000000471e-01,9.310000000000000497e-01
9.191919191919192267e-01,9.210000000000000409e-01,9.330000000000000515e-01,9.389999999999999458e-01
9.292929292929293927e-01,9.260000000000000453e-01,9.479999999999999538e-01,9.479999999999999538e-01
9.393939393939394478e-01,9.330000000000000515e-01,9.599999999999999645e-01,9.529999999999999583e-01
9.494949494949496138e-01,9.429999999999999494e-01,9.679999999999999716e-01,9.589999999999999636e-01
9.595959595959596689e-01,9.519999999999999574e-01,9.729999999999999760e-01,9.669999999999999707e-01
9.696969696969697239e-01,9.619999999999999662e-01,9.789999999999999813e-01,9.769999999999999796e-01
9.797979797979798899e-01,9.709999999999999742e-01,9.949999999999999956e-01,9.819999999999999840e-01
9.898989898989899450e-01,9.869999999999999885e-01,9.979999999999999982e-01,9.939999999999999947e-01
1.000000000000000000e+00,9.949999999999999956e-01,1.000000000000000000e+00,1.000000000000000000e+00
